route_ID_num,stop_name_str,total_num,num_1,num_2,num_3
108,琥珀花园西,49,3,7,6
108,龙福山庄,49,5,8,7
1,南堡公园,178,26,17,18
1,夫子庙总站,175,23,14,20
2,中华门地铁站,184,28,14,18
2,长途东站,183,25,12,20
340,定坊工业园,15,6,0,4
3,随家仓,153,22,18,13
3,随家仓,141,21,16,13
4,新街口西,132,18,13,13
4,银城东苑,133,18,11,10
5,南湾营,146,22,21,11
5,长江路,146,18,16,15
6,清凉山公园,159,20,20,23
6,高力家居港,164,24,16,13
7,宜悦街,121,16,12,11
7,瑞金路,121,15,17,11
8,傅佐路,171,24,17,18
8,燕子矶,168,24,17,14
D12,中山码头,51,9,5,6
D12,南京南站,53,10,8,5
