"5           2018-12-05"
""
""
""
"1         2       3    4      5    6       7       8"
"12        21      21   20     17   25      21      15         152"
"16        25      21   16     21   21      13      13         146"
"( )"
"5     87   0957 30026750   13:34:59   48   47    14:22:00   14:22:13   6"
"5     88   0961 30016991   13:06:29   5    81    14:28:00   14:28:16   6"
"5     89   9121 30026979   14:05:22   53   28    14:34:00   14:34:14   5"
"5     90   9044 30100021   11:32:28   6    187   14:40:00   14:40:13   5"
"5     91   9128 30017761   14:01:45   55   44    14:46:00   14:46:22   6"
"5     92   9127 30019034   12:37:59   7    134   14:52:00   14:52:13   5"
"5     93   0959 30026492   13:50:12   48   67    14:57:00   14:57:24   5"
"5     94   9119 30016786   11:37:30   5    205   15:02:00   15:03:27   6"
"5   95   9047 30019581    14:28:34   53   38    15:07:00   15:07:02   3    17 19 2"
"5   96   9129 30020031    11:50:27   5    201   15:12:00   15:12:13   5"
"5   97   9124 30017207    12:15:34   49   181   15:17:00   15:17:13   5"
"5   98   9123 30015786    14:45:47   48   36    15:22:00   15:22:13   5"
"5   99   9126 30020020    15:14:49   4    11    15:26:00   15:26:13   4"
"6   100 9125 30016785     15:19:38   56   10    15:30:00   15:30:13   4"
"6   101 9132 30001081     15:20:50   50   14    15:34:00   15:35:33   5"
"6   102 1111 30015783     14:51:05   61   47    15:38:00   15:38:13   2"
"6   103 0954 30026637     15:28:56   53   14    15:43:00   15:43:13   5"
""
"6   104 0955 30015470     14:58:04   55   50    15:48:00   15:48:17   5"
"6   105 9130 30227417     15:42:27   51   10    15:53:00   15:53:13   4"
"6   106 1112 30018473     13:46:08   5    132   15:58:00   15:58:13   5"
"6   107 1006 30022902     15:54:02   4    9     16:03:00   16:03:13   5"
"6   108 9131 30022897     14:45:52   6    82    16:08:00   16:08:13   5"
"6   109 9117 30013871     15:48:59   50   24    16:13:00   16:13:13   5"
"6   110 9120 30001018     15:50:19   55   28    16:18:00   16:18:28   5"
"6   111 9118 30017915     16:01:21   55   22    16:23:00   16:23:55   5"
"6   112 9046 30026673     14:27:34   7    120   16:28:00   16:28:13   4    0956"
"6   113 0957 30026750     16:28:03   64   6     16:34:00   16:34:13   6"
"6   114 0961 30016991     16:28:40   60   10    16:40:00   16:39:08   4"
"6   115 0956 30026677     16:08:01   54   38    16:46:00   16:46:20   7"
"6   116 9044 30100021     16:33:45   58   20    16:54:00   16:54:13   7"
"6   117 0960 30026638     08:59:44   68   483   17:02:00   17:03:21   9"
"6   118 0959 30026492     16:45:07   50   29    17:14:00   17:14:59   11"
"6   119 9128 30017761     16:47:04   62   36    17:22:00   17:23:47   8"
"6   120 9047 30019581     16:44:40   50   45    17:30:00   17:30:13   6    25 25"
"7   121 9121 30026979     16:41:15   9    61    17:42:00   17:43:05   12"
"7   122 9124 30017207     17:17:22   63   36    17:54:00   17:54:16   11"
"7   123 9132 30001081     17:30:25   63   37    18:06:00   18:08:21   14"
"7   124 0954 30026637     17:56:41   74   21    18:18:00   18:18:13   9"
"7   125 9130 30227417     17:53:53   69   37    18:30:00   18:30:59   12"
"7   126 9131 30022897     18:30:51   81   16    18:46:00   18:47:37   16"
"7   127 1112 30018473     18:21:46   80   34    18:56:00   18:56:13   8"
"7   128 9120 30001018     18:46:51   81   20    19:07:00   19:07:13   11"
"7   129 0957 30026750     18:52:08   75   28    19:20:00   19:20:13   13"
"7   130 9118 30017915     18:47:08   79   45    19:32:00   19:32:15   12"
"7   131 0956 30026677     19:10:49   81   33    19:44:00   19:44:13   11"
"7   132 0960              19:21:49   70   34    19:56:00   19:56:18   12"
"30026638"
""
"7   133 9047 30019581     19:58:53   68   7     20:06:00   20:06:13   9    21 13 2 3 13 6"
"8   134 9126 30020020     17:32:34   65   165   20:17:00   20:17:45   11"
"8   135 9132 30001081     20:13:54   57   14    20:28:00   20:28:21   10"
"8   136 9130 30227417     20:30:11   4    9     20:39:00   20:39:40   11"
"8   137 0959 30026492     20:06:37   1    44    20:50:00   20:50:57   11"
"8   138 9120 30001018     20:50:17   50   9     21:00:00   21:00:13   9"
"8   139 1112 30018473     20:47:38   57   22    21:10:00   21:10:13   10"
"8   140 9131 30022897     20:48:01   61   32    21:20:00   21:20:36   10"
"8   141 9128 30017761     20:17:03   7    77    21:34:00   21:34:33   13"
"8   142 0956 30026677     21:36:13   4    10    21:46:00   21:46:13   11"
"8   143 9047 30019581     21:47:45   5    10    21:58:00   21:58:13   12"
"8   144 0960 30026638     21:50:43   5    18    22:09:00   22:09:12   10"
"8   145 9124 30017207         20:28:06   4    112   22:20:00   22:20:14   11   15 12 1 3 2"
"8   146 0871 30000044   164   17:46:01   44   329              23:15:52   55"
""
