XCoord,YCoord,NAME,STATIONID
118.62368000,32.06000100,凤凰大街·公园南路,3029
118.62625900,32.05697600,江浦市民广场,1444
118.62902100,32.05423000,南门桥,2919
118.62895200,32.05432500,南门桥,2919
118.62727400,32.05784600,江浦市民广场东,2920
118.62890600,32.05434400,南门桥,2919
118.62600700,32.05663300,江浦市民广场,1444
118.62384000,32.06010400,凤凰大街·公园南路,3029
118.62622800,32.05694600,江浦市民广场,1444
118.62499200,32.05544300,文德西路·中圣街,1445
118.62590000,32.05650300,江浦市民广场,1444
118.62628200,32.05699200,江浦市民广场,1444
118.62498500,32.05555700,文德西路·中圣街,1445
118.62889900,32.05434400,南门桥,2919
118.62411500,32.05689200,中圣街·文德路,2981
118.62606800,32.05670200,江浦市民广场,1444
118.62890600,32.05434400,南门桥,2919
118.62722800,32.05780400,江浦市民广场东,2920
118.62890600,32.05434400,南门桥,2919
118.62416800,32.05685800,中圣街·文德路,2981
118.62626600,32.05699200,江浦市民广场,1444
118.62501500,32.05557600,文德西路·中圣街,1445
118.62496200,32.05540800,文德西路·中圣街,1445
118.62593194,32.05653337,江浦市民广场,1444
