XCoord,YCoord,NAME,STATIONID
118.61307500,32.04252600,建设路总站,2995
118.61620300,32.04541000,雨山路地铁站,1448
118.61610400,32.04541000,雨山路地铁站,1448
118.61607400,32.04537200,雨山路地铁站,1448
118.61193100,32.04126700,五里桥立交北,1449
118.61306800,32.04252600,建设路总站,2995
118.61623400,32.04543300,雨山路地铁站,1448
118.61190800,32.04111500,五里桥立交北,1449
118.61622600,32.04542900,雨山路地铁站,1448
118.61610400,32.04540300,雨山路地铁站,1448
118.61197700,32.04132500,五里桥立交北,1449
118.61209100,32.04138200,五里桥立交北,1449
118.61619600,32.04540600,雨山路地铁站,1448
118.61607400,32.04537600,雨山路地铁站,1448
118.61197700,32.04133200,五里桥立交北,1449
118.61197700,32.04123300,五里桥立交北,1449
118.61618800,32.04539500,雨山路地铁站,1448
